Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
Crysis,PC,Sparatutto in 1a persona,16 novembre 2007,Electronic Arts,Crytek Studios,18+,
Far Cry 3,PC,Sparatutto in 1a persona,29 novembre 2012,Ubisoft,Ubisoft,18+,
Zeno Clash,PC,Sparatutto in 1a persona,21 aprile 2009,,ACE Team,,
Unturned,PC,Gioco d'azione,7 luglio 2017,Smartly Dressed Games,Smartly Dressed Games,16+,https://store.steampowered.com/app/304930/Unturned/
State of Decay,PC,Azione/Avventura,ottobre 2013,Undead Labs,Undead Labs,,
Saints Row: The Third Remastered,PC,Azione/Avventura,21 maggio 2021,Deep Silver,"Deep Silver Volition, Sperasoft",18+,https://store.steampowered.com/app/978300/Saints_Row_The_Third_Remastered/
Red Dead Redemption 2,PC,Azione/Avventura,5 novembre 2019,Rockstar Games,Rockstar Games,18+,
Trials Evolution: Gold Edition,PC,Gioco di guida,21 marzo 2013,Ubisoft,RedLynx,,
Urban Trial Freestyle,PC,Gioco di guida,18 settembre 2013,,Tate Multimedia,,
Professional Farmer 2014,PC,Gestionale,29 novembre 2013,United Independent Entertainment Gm,PlayWay,3+,
Aarklash: Legacy,PC,Azione strategico,settembre 2013,Focus Home Interactive,Cyanide Studio,,
Dead Space,PC,Sparatutto in 3a persona,27 gennaio 2023,Electronic Arts,Motive,18+,https://store.steampowered.com/app/1693980/Dead_Space/
The Elder Scrolls III: Morrowind,PC,Gioco di ruolo,2 maggio 2002,Softworks,Interno,12+,
Dark Souls II,PC,Gioco di ruolo,25 aprile 2014,Namco Bandai Games,From Software,,
Dark Souls III,PC,Gioco di ruolo,12 aprile 2016,Bandai Namco Games,From Software,16+,
Goat Simulator,PC,Avventura,1 aprile 2014,,Coffee Stain Studios,,http://store.steampowered.com/app/265930/
Diablo,PC,Gioco di ruolo,1 novembre 1996,Blizzard,Blizzard North,,
Newcomer : Language Learning RPG,PC,Party Game,1 novembre 2023,Newcomer Games,Newcomer Games,,https://store.steampowered.com/app/2063790/Newcomer__A_Language_Learning_RPG/
Shadow the Hedgehog,GameCube,Platform,18 novembre 2005,Sega,Sonic Team,,
Vexx,GameCube,Platform,4 aprile 2003,,Acclaim,,
Borderlands 2,PC,Sparatutto in 1a persona,20 settembre 2012,2K Games,Gearbox Software,18+,https://store.steampowered.com/app/49520/Borderlands_2/
